feature_id,feature,panel_tier,persona,role,agent_value,revenue,legal_safety,feasibility,differentiation
1,Single-source consent copy + versioned re-consent sweep,launch-blocking,Park Ji-won,Investor,2,4,10,7,2
2,"Identity-true seed upsert, seeds off the boot path",launch-blocking,Park Ji-won,Investor,8,6,9,6,1
3,Always-on backend for customer-facing links,launch-blocking,Park Ji-won,Investor,7,5,10,10,1
4,Nightly encrypted pg_dump + rehearsed restore + retention cycle,launch-blocking,Park Ji-won,Investor,4,3,7,7,1
5,Single scheduled job runner with dead-man heartbeat,launch-blocking,Park Ji-won,Investor,4,3,9,8,1
6,Reminder producer + 8am in-app morning digest,launch-blocking,Park Ji-won,Investor,9,7,9,7,4
7,"Launch trust sweep: purge demo data, fix placeholders, hide ghost surfaces",launch-blocking,Park Ji-won,Investor,4,5,9,9,1
8,/s never-dead CTA (tel: layer + tracked callback lead),launch-blocking,Park Ji-won,Investor,7,5,8,8,3
9,PII log scrub + legal identity fill,launch-blocking,Park Ji-won,Investor,2,4,10,9,1
10,Consent withdrawal endpoint + retention automation,launch-blocking,Park Ji-won,Investor,2,3,10,7,1
11,Sentry + PII-safe error monitoring + synthetic probes,launch-blocking,Park Ji-won,Investor,3,3,9,9,1
12,계좌이체 billing desk + credible pricing surface,launch-blocking,Park Ji-won,Investor,3,9,8,8,1
13,Meritz data provenance purge (phased),launch-blocking,Park Ji-won,Investor,2,2,10,4,1
14,Residual loading skeletons on token pages,mvp-candidate,Park Ji-won,Investor,3,2,10,9,1
15,Invited 계좌이체 paid pilot + founder concierge (Founding 20),mvp-candidate,Park Ji-won,Investor,6,9,8,9,3
16,Activation funnel instrumentation + UTM capture + dead-man funnel alarm,mvp-candidate,Park Ji-won,Investor,1,5,9,8,1
17,Claude per-call cost + parse-outcome telemetry,mvp-candidate,Park Ji-won,Investor,1,6,9,8,1
18,Golden-set normalization eval harness,mvp-candidate,Park Ji-won,Investor,4,4,9,5,3
19,Daily call list (오늘 전화 리스트),mvp-candidate,Park Ji-won,Investor,9,7,9,8,6
20,"KakaoTalk link preview cards (static first, per-token after warmth)",mvp-candidate,Park Ji-won,Investor,6,5,7,8,4
21,Truthful state matrix pass,mvp-candidate,Park Ji-won,Investor,5,2,10,7,1
22,SEO and crawl baseline,mvp-candidate,Park Ji-won,Investor,1,2,9,10,1
23,Recommendation-word blacklist (CI + server-side share check),mvp-candidate,Park Ji-won,Investor,4,4,10,8,5
24,Team invite onboarding link (consent-clean),mvp-candidate,Park Ji-won,Investor,5,6,9,8,4
25,"Multi-seat org code billing (지점 invoice, not a tier)",mvp-candidate,Park Ji-won,Investor,3,8,9,8,2
26,Community dictionary feedback loop,post-launch,Park Ji-won,Investor,5,3,9,8,6
27,Immutable comparison snapshot archive,post-launch,Park Ji-won,Investor,5,5,8,7,7
28,Agent referral coupon loop,post-launch,Park Ji-won,Investor,3,4,8,7,2
29,Persistency module (13/25회차),post-launch,Park Ji-won,Investor,7,6,9,8,5
30,판촉물 real imagery + manager-facing page,post-launch,Park Ji-won,Investor,4,4,7,8,4
1,Single-source consent copy + versioned re-consent sweep,launch-blocking,Daniel Cho,Investor,3,4,10,7,2
2,"Identity-true seed upsert, seeds off the boot path",launch-blocking,Daniel Cho,Investor,8,7,10,6,1
3,Always-on backend for customer-facing links,launch-blocking,Daniel Cho,Investor,6,5,10,10,1
4,Nightly encrypted pg_dump + rehearsed restore + retention cycle,launch-blocking,Daniel Cho,Investor,2,2,8,7,1
5,Single scheduled job runner with dead-man heartbeat,launch-blocking,Daniel Cho,Investor,3,3,10,8,1
6,Reminder producer + 8am in-app morning digest,launch-blocking,Daniel Cho,Investor,9,7,9,7,5
7,"Launch trust sweep: purge demo data, fix placeholders, hide ghost surfaces",launch-blocking,Daniel Cho,Investor,4,4,10,9,1
